Country,Year,Attack Type,Target Industry,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Financial Loss ($M),Affected Users,Incident Resolution Time (h),Loss per Affected User,Resolution Category,Loss norm,User norm,Res norm,Severity Score
USA,2015,SQL Injection,Education,Insider,Social Engineering,AI-based Detection,98.78,140958,51,0.0,1-3 days,0.9878379736656951,0.14064496888044667,0.704225352112676,0.6769575479195168
China,2015,DDoS,Telecommunications,Nation-state,Zero-day,AI-based Detection,61.24,965727,32,0.0,1-3 days,0.6105136194592422,0.9660652254628902,0.43661971830985913,0.68240032103046
Russia,2015,Malware,Telecommunications,Unknown,Social Engineering,VPN,69.34,20269,36,0.0,1-3 days,0.6919288370690523,0.01986067006868419,0.49295774647887325,0.450514168850906
Germany,2015,DDoS,Retail,Nation-state,Social Engineering,Encryption,7.84,323011,25,0.0,1-3 days,0.07377625892049453,0.3228417221187517,0.3380281690140845,0.2013462798986897
USA,2016,Ransomware,Retail,Nation-state,Social Engineering,Antivirus,57.17,50321,25,0.0,1-3 days,0.569604985425671,0.04993639981945755,0.3380281690140845,0.3673890464614897
Russia,2020,DDoS,Banking,Insider,Weak Passwords,Firewall,33.99,851863,25,0.0,1-3 days,0.33661674540154796,0.8521113158281884,0.3380281690140845,0.49154740125204743
China,2024,DDoS,IT,Unknown,Unpatched Software,AI-based Detection,22.45,704925,52,0.0,1-3 days,0.22062518846115187,0.7050572902019694,0.7183098591549296,0.46549175312215263
France,2018,Ransomware,Banking,Nation-state,Unpatched Software,VPN,27.78,355077,65,0.0,1-3 days,0.27419841190069355,0.35493304217027233,0.9014084507042254,0.42386080874227355
Australia,2022,Malware,Education,Unknown,Social Engineering,Antivirus,47.12,866057,17,0.0,Under a day,0.4685898080209066,0.8663165237372287,0.22535211267605634,0.5392602836668332
Germany,2016,SQL Injection,Telecommunications,Insider,Zero-day,Antivirus,48.77,169455,23,0.0,Under a day,0.485174389385868,0.16916447076743552,0.30985915492957744,0.3553083669090802
India,2023,SQL Injection,IT,Unknown,Unpatched Software,Encryption,92.35,380022,30,0.0,1-3 days,0.9232083626495126,0.3798977393163206,0.4084507042253521,0.6572636439647229
USA,2019,SQL Injection,Retail,Insider,Zero-day,Firewall,88.98,898679,35,0.0,1-3 days,0.8893356116192583,0.8989642828191443,0.4788732394366197,0.8101317385426964
Japan,2020,Ransomware,IT,Unknown,Zero-day,Antivirus,61.69,704157,42,0.0,1-3 days,0.6150366871042315,0.7042886837714957,0.5774647887323944,0.6342979064300434
Russia,2022,Malware,Telecommunications,Nation-state,Weak Passwords,Encryption,84.57,262201,54,0.0,1-3 days,0.8450095486983616,0.2619837051433581,0.7464788732394366,0.6503956605400756
Brazil,2021,DDoS,Telecommunications,Hacker Group,Unpatched Software,Antivirus,67.87,683261,13,0.0,Under a day,0.6771534827620868,0.6833761838090253,0.16901408450704225,0.5773924134251593
USA,2022,Phishing,IT,Nation-state,Unpatched Software,Firewall,59.7,382379,2,0.0,Under a day,0.595034676851945,0.38225660045776116,0.014084507042253521,0.41501121997175155
Germany,2024,Phishing,Government,Nation-state,Social Engineering,VPN,90.21,510657,62,0.0,1-3 days,0.9016986631822294,0.5106358917185659,0.8591549295774648,0.7758710850221774
UK,2018,SQL Injection,Education,Nation-state,Unpatched Software,Antivirus,16.23,912558,69,0.0,1-3 days,0.15810634234596443,0.9128542419969355,0.9577464788732394,0.5444587395467108
UK,2020,Ransomware,Banking,Hacker Group,Zero-day,AI-based Detection,16.91,952504,45,0.0,1-3 days,0.16494120012061514,0.9528317842777951,0.6197183098591549,0.49226379731547704
France,2015,Phishing,Government,Insider,Unpatched Software,Antivirus,41.88,913027,68,0.0,1-3 days,0.4159211981103629,0.9133236123301285,0.9436619718309859,0.6706900771204172
Brazil,2019,Malware,Government,Insider,Unpatched Software,Antivirus,31.04,269271,58,0.0,1-3 days,0.30696552417328377,0.2690592877780569,0.8028169014084507,0.3947639287017491
India,2016,Ransomware,Healthcare,Hacker Group,Social Engineering,Antivirus,37.12,113404,11,0.0,Under a day,0.36807719368780784,0.11306921160795869,0.14084507042253522,0.24612837441079854
Russia,2023,DDoS,Healthcare,Hacker Group,Weak Passwords,Antivirus,46.2,310868,10,0.0,Under a day,0.45934264750226156,0.3106891337265102,0.1267605633802817,0.3482301765451402
Japan,2024,Man-in-the-Middle,Telecommunications,Insider,Social Engineering,Antivirus,98.3,458630,14,0.0,Under a day,0.9830133681777063,0.4585678100020916,0.18309859154929578,0.6656967453993398
USA,2024,Ransomware,IT,Unknown,Weak Passwords,Encryption,16.61,912183,44,0.0,1-3 days,0.16192582169062217,0.9124789458883059,0.6056338028169014,0.47583335517518316
Brazil,2017,Man-in-the-Middle,IT,Unknown,Social Engineering,Antivirus,71.06,871891,52,0.0,1-3 days,0.7092170067343452,0.872155130397884,0.7183098591549296,0.7599170143175238
USA,2016,SQL Injection,Government,Nation-state,Unpatched Software,VPN,14.17,863298,15,0.0,Under a day,0.13740074379334608,0.863555345167337,0.19718309859154928,0.367203595165184
Australia,2018,Malware,Healthcare,Unknown,Social Engineering,AI-based Detection,82.65,434626,29,0.0,1-3 days,0.8257111267464068,0.4345448558912982,0.39436619718309857,0.6220922595772126
Australia,2018,Ransomware,IT,Unknown,Zero-day,Antivirus,78.27,195490,63,0.0,1-3 days,0.7816866016685095,0.19522002860256743,0.8732394366197183,0.6240571967389685
UK,2022,Ransomware,Retail,Nation-state,Unpatched Software,Firewall,10.44,19404,32,0.0,1-3 days,0.09990953864710021,0.01899498704477833,0.43661971830985913,0.14297720909895545
Russia,2019,Ransomware,Healthcare,Hacker Group,Social Engineering,Firewall,21.95,217438,14,0.0,Under a day,0.21559955774449693,0.21718535924844704,0.18309859154929578,0.20957510495664172
India,2018,Malware,Healthcare,Unknown,Weak Passwords,AI-based Detection,30.83,481452,57,0.0,1-3 days,0.30485475927228867,0.4814078307784842,0.7887323943661971,0.454596207742929
UK,2020,SQL Injection,Education,Unknown,Unpatched Software,VPN,35.57,386093,42,0.0,1-3 days,0.35249773846617755,0.38597353311762983,0.5774647887323944,0.4075338869148566
France,2019,Man-in-the-Middle,Banking,Nation-state,Weak Passwords,Antivirus,28.29,929020,2,0.0,Under a day,0.2793245552316816,0.9293292407709683,0.014084507042253521,0.421277951255582
USA,2022,Malware,IT,Nation-state,Unpatched Software,AI-based Detection,4.06,863756,66,0.0,1-3 days,0.03578249070258317,0.8640137068146768,0.9154929577464789,0.46019394894499044
China,2018,Ransomware,Telecommunications,Nation-state,Unpatched Software,Encryption,58.28,300898,18,0.0,Under a day,0.5807618856166449,0.300711261185075,0.23943661971830985,0.4284816451075069
Japan,2017,SQL Injection,Healthcare,Insider,Weak Passwords,Encryption,7.31,191328,51,0.0,1-3 days,0.06844909036084028,0.19105474219158916,0.704225352112676,0.2323860382604321
Germany,2021,Man-in-the-Middle,Banking,Hacker Group,Zero-day,Firewall,37.69,361849,63,0.0,1-3 days,0.3738064127047944,0.3617103894973134,0.8732394366197183,0.4700642105255349
Brazil,2016,Phishing,Retail,Nation-state,Unpatched Software,Antivirus,27.99,30884,26,0.0,1-3 days,0.2763091768016886,0.030484051916962483,0.352112676056338,0.21772233918720063
Brazil,2024,Ransomware,IT,Unknown,Social Engineering,Encryption,71.55,902924,12,0.0,Under a day,0.7141421248366671,0.9032126347688326,0.15492957746478872,0.659020768341941
Brazil,2024,Man-in-the-Middle,Telecommunications,Nation-state,Weak Passwords,VPN,27.13,943178,63,0.0,1-3 days,0.26766509196904215,0.9434984202535801,0.8732394366197183,0.5915299593845388
Australia,2021,SQL Injection,Telecommunications,Insider,Unpatched Software,Antivirus,10.28,994468,8,0.0,Under a day,0.09830133681777063,0.9948289200178941,0.09859154929577464,0.36731765427340846
China,2022,Phishing,Retail,Insider,Weak Passwords,Firewall,31.35,131361,39,0.0,1-3 days,0.31008141521760985,0.13104039086839517,0.5352112676056338,0.3013950783904502
China,2023,Malware,Telecommunications,Unknown,Zero-day,Antivirus,80.1,237658,26,0.0,1-3 days,0.8000804100914665,0.23742132542576092,0.352112676056338,0.541689137884729
USA,2017,Ransomware,Banking,Hacker Group,Unpatched Software,Antivirus,42.19,157313,47,0.0,1-3 days,0.4190370891546889,0.15701288316481704,0.647887323943662,0.38619987431552194
UK,2021,Man-in-the-Middle,Education,Insider,Unpatched Software,AI-based Detection,40.98,414340,10,0.0,Under a day,0.40687506282038394,0.4142428375988655,0.1267605633802817,0.353062495365908
France,2020,DDoS,Healthcare,Insider,Social Engineering,Encryption,58.8,153523,22,0.0,Under a day,0.585988541561966,0.15321989049359944,0.29577464788732394,0.39811516750652765
UK,2019,Phishing,IT,Unknown,Social Engineering,AI-based Detection,3.33,232665,65,0.0,1-3 days,0.028445069856266963,0.23242438283805922,0.9014084507042254,0.26423153992039633
Germany,2022,Phishing,Government,Nation-state,Zero-day,Encryption,58.98,383945,49,0.0,1-3 days,0.5877977686199618,0.38382383700739886,0.676056338028169,0.5442573030178344
Brazil,2023,Ransomware,Government,Unknown,Weak Passwords,Antivirus,4.6,762006,21,0.0,Under a day,0.04121017187657051,0.7621833626731491,0.28169014084507044,0.30559812290924404
Germany,2019,SQL Injection,Government,Nation-state,Unpatched Software,Firewall,96.91,408103,27,0.0,1-3 days,0.9690421147854056,0.40800091272013617,0.36619718309859156,0.6801607678284619
France,2022,Phishing,Healthcare,Unknown,Zero-day,AI-based Detection,85.91,44837,18,0.0,Under a day,0.8584782390189969,0.04444806952685669,0.23943661971830985,0.49046086431121744
Germany,2023,DDoS,Telecommunications,Unknown,Social Engineering,Firewall,51.49,642699,51,0.0,1-3 days,0.5125138204844708,0.6427821551203899,0.704225352112676,0.5899366272008876
UK,2021,Ransomware,Telecommunications,Insider,Unpatched Software,Encryption,3.99,634820,33,0.0,1-3 days,0.035078902402251484,0.634896933680674,0.4507042253521127,0.29814937637575045
France,2021,Malware,Retail,Insider,Zero-day,Antivirus,3.44,887718,55,0.0,1-3 days,0.02955070861393105,0.8879946277613037,0.7605633802816901,0.43328641869169465
USA,2020,DDoS,Education,Unknown,Zero-day,AI-based Detection,52.7,541631,30,0.0,1-3 days,0.5246758468187758,0.5416343495017569,0.4084507042253521,0.5065183691049854
USA,2016,Ransomware,Retail,Unknown,Weak Passwords,Encryption,11.58,523522,57,0.0,1-3 days,0.11136797668107348,0.5235110502186225,0.7887323943661971,0.37048378227936296
Russia,2021,DDoS,Government,Unknown,Unpatched Software,Antivirus,91.69,686309,42,0.0,1-3 days,0.916574530103528,0.6864265905799676,0.5774647887323944,0.7797081999722331
India,2015,Man-in-the-Middle,Education,Nation-state,Zero-day,Encryption,79.89,416328,55,0.0,1-3 days,0.7979696451904714,0.41623240736941447,0.7605633802816901,0.6759672208623981
India,2021,Man-in-the-Middle,IT,Hacker Group,Social Engineering,Encryption,53.49,582718,20,0.0,Under a day,0.5326163433510906,0.5827537927424739,0.2676056338028169,0.49465543625885083
Japan,2021,Man-in-the-Middle,Telecommunications,Nation-state,Social Engineering,Encryption,18.91,549640,17,0.0,Under a day,0.1850437229872349,0.5496496735924644,0.22535211267605634,0.30248718610656805
USA,2024,DDoS,Retail,Insider,Social Engineering,Firewall,15.34,1068,3,0.01,Under a day,0.14916071967031863,0.0006445085172200867,0.028169014084507043,0.08040751520722676
France,2018,DDoS,Telecommunications,Unknown,Zero-day,Firewall,12.72,959835,38,0.0,1-3 days,0.12282641471504675,0.9601685730041002,0.5211267605633803,0.4536891313714295
USA,2024,Ransomware,Retail,Insider,Weak Passwords,AI-based Detection,46.59,227390,40,0.0,1-3 days,0.46326263946125246,0.227145217576668,0.5492957746478874,0.40963403993320413
France,2021,SQL Injection,Banking,Insider,Zero-day,AI-based Detection,62.9,577763,43,0.0,1-3 days,0.6271987134385365,0.5777948801604466,0.5915492957746479,0.6052476799223319
Japan,2018,SQL Injection,Healthcare,Nation-state,Unpatched Software,Antivirus,85.33,786644,41,0.0,1-3 days,0.8526485073876772,0.7868408174049325,0.5633802816901409,0.7750525552533465
China,2016,Malware,Healthcare,Insider,Unpatched Software,Antivirus,85.15,454802,48,0.0,1-3 days,0.8508392803296815,0.45473678732519957,0.6619718309859155,0.6942350425595838
China,2024,DDoS,Healthcare,Unknown,Social Engineering,VPN,53.53,371685,34,0.0,1-3 days,0.533018393808423,0.3715541562292649,0.4647887323943662,0.4709331902518642
India,2023,Ransomware,Retail,Unknown,Unpatched Software,VPN,4.32,217534,48,0.0,1-3 days,0.03839581867524375,0.21728143505225622,0.6619718309859155,0.21677670605048185
Australia,2024,Man-in-the-Middle,Telecommunications,Nation-state,Unpatched Software,VPN,31.68,376612,27,0.0,1-3 days,0.3133983314906021,0.37648504670184774,0.36619718309859156,0.3428841163755737
UK,2020,Phishing,Banking,Hacker Group,Unpatched Software,Encryption,84.77,812206,39,0.0,1-3 days,0.8470198009850236,0.8124230017483794,0.5352112676056338,0.7742790545381524
Australia,2021,Man-in-the-Middle,Banking,Unknown,Social Engineering,VPN,82.87,255967,23,0.0,Under a day,0.8279224042617349,0.2557447826334978,0.30985915492957744,0.5526564679068323
USA,2023,DDoS,Healthcare,Unknown,Weak Passwords,Encryption,5.32,463332,16,0.0,Under a day,0.04844708010855363,0.4632735228094967,0.2112676056338028,0.2054591180238864
Australia,2023,DDoS,IT,Hacker Group,Zero-day,Antivirus,31.48,771547,5,0.0,Under a day,0.3113880792039401,0.7717318964663119,0.056338028169014086,0.3984812141756664
UK,2020,DDoS,Retail,Unknown,Social Engineering,Encryption,86.0,809209,26,0.0,1-3 days,0.8593828525479948,0.8094236352482108,0.352112676056338,0.7429410520597283
India,2024,DDoS,Retail,Insider,Social Engineering,Firewall,35.47,342575,49,0.0,1-3 days,0.3514926123228465,0.3424211703033694,0.676056338028169,0.41368392485806793
Japan,2024,Phishing,Retail,Insider,Zero-day,VPN,94.75,478963,70,0.0,1-3 days,0.9473313900894563,0.47891686540680595,0.971830985915493,0.8117069518498685
USA,2017,SQL Injection,Banking,Unknown,Weak Passwords,Antivirus,39.59,910393,52,0.0,1-3 days,0.3929038094280833,0.9106875324631134,0.7183098591549296,0.6133201362839616
Australia,2024,Phishing,Banking,Insider,Zero-day,Encryption,70.52,601198,41,0.0,1-3 days,0.7037893255603578,0.6012483849757458,0.5633802816901409,0.6449452346109308
UK,2018,Ransomware,Government,Hacker Group,Social Engineering,AI-based Detection,6.6,152302,26,0.0,1-3 days,0.06131269474319027,0.1519979263639011,0.352112676056338,0.14667826049203309
USA,2016,SQL Injection,Healthcare,Nation-state,Zero-day,AI-based Detection,25.85,79102,4,0.0,Under a day,0.2547994773344055,0.07874012595938196,0.04225352112676056,0.15947248068036943
India,2017,Ransomware,Retail,Nation-state,Zero-day,Antivirus,80.93,837506,8,0.0,Under a day,0.8084229570811138,0.8377429792105971,0.09859154929577464,0.6752526821628909
Germany,2018,Malware,Banking,Hacker Group,Social Engineering,Firewall,63.81,347441,58,0.0,1-3 days,0.6363453613428486,0.34729101260894846,0.8028169014084507,0.582923364735799
USA,2021,Ransomware,Telecommunications,Insider,Unpatched Software,Encryption,3.63,231198,42,0.0,1-3 days,0.03146044828625993,0.2309562244610998,0.5774647887323944,0.2005100492279388
Brazil,2016,DDoS,Government,Unknown,Social Engineering,Antivirus,80.09,555275,71,0.0,1-3 days,0.7999798974771335,0.5552891231181402,0.9859154929577465,0.7637597842655581
UK,2016,SQL Injection,Retail,Unknown,Zero-day,Antivirus,24.51,46699,53,0.0,1-3 days,0.24133078701377025,0.04631153980490607,0.7323943661971831,0.28103772868779353
UK,2024,Man-in-the-Middle,IT,Unknown,Unpatched Software,Encryption,56.23,706469,17,0.0,Under a day,0.5601567996783596,0.7066025093799008,0.22535211267605634,0.5371295751883614
China,2018,Ransomware,IT,Unknown,Social Engineering,AI-based Detection,43.73,311165,34,0.0,1-3 days,0.4345160317619861,0.31098636824454495,0.4647887323943662,0.40351167283322975
France,2019,SQL Injection,Government,Nation-state,Weak Passwords,Antivirus,85.13,304257,20,0.0,Under a day,0.8506382551010152,0.3040729135287742,0.2676056338028169,0.5700621283697033
Brazil,2017,SQL Injection,Telecommunications,Insider,Unpatched Software,Antivirus,24.05,446378,59,0.0,1-3 days,0.2367072067544477,0.4463061355409418,0.8169014084507042,0.41562572572964723
China,2021,Ransomware,Healthcare,Hacker Group,Social Engineering,Firewall,32.72,994243,54,0.0,1-3 days,0.32385164338124434,0.9946037423527163,0.7464788732394366,0.6096027190443244
UK,2015,Phishing,Healthcare,Unknown,Social Engineering,VPN,81.75,98634,5,0.0,Under a day,0.8166649914564278,0.09828754887606321,0.056338028169014086,0.44908636602483565
USA,2018,Phishing,Telecommunications,Nation-state,Social Engineering,Encryption,42.46,93999,65,0.0,1-3 days,0.4217509297416826,0.09364888897340001,0.9014084507042254,0.4192518217037064
France,2017,SQL Injection,Education,Hacker Group,Zero-day,AI-based Detection,14.54,171095,63,0.0,1-3 days,0.14111971052367073,0.1708057657491761,0.8732394366197183,0.29644947231053187
USA,2015,Man-in-the-Middle,IT,Nation-state,Weak Passwords,Antivirus,38.92,820182,16,0.0,Under a day,0.38616946426776566,0.8204052997815277,0.2112676056338028,0.48145984319510166
Germany,2018,SQL Injection,Telecommunications,Insider,Weak Passwords,Encryption,4.2,164890,61,0.0,1-3 days,0.03718966730324656,0.16459586613838317,0.8450704225352113,0.23698767800018047
China,2015,SQL Injection,Telecommunications,Insider,Unpatched Software,Antivirus,75.91,605020,43,0.0,1-3 days,0.7579656246858981,0.6050734029148999,0.5915492957746479,0.6788146923723486
Australia,2024,Ransomware,Education,Insider,Unpatched Software,AI-based Detection,44.95,500747,58,0.0,1-3 days,0.4467785707106242,0.5007180665545116,0.8028169014084507,0.5341680856033557
Japan,2020,Man-in-the-Middle,IT,Insider,Weak Passwords,Firewall,35.79,854904,12,0.0,Under a day,0.35470901598150567,0.8551547170717696,0.15492957746478872,0.46488683860524144
China,2020,SQL Injection,Healthcare,Unknown,Unpatched Software,Firewall,62.44,55719,71,0.0,1-3 days,0.622575133179214,0.05533866220447933,0.9859154929577465,0.5250722638425
Brazil,2015,Phishing,Retail,Hacker Group,Unpatched Software,Antivirus,19.93,355008,31,0.0,1-3 days,0.19529600964921098,0.35486398768628447,0.4225352112676056,0.288614243384012
UK,2019,Phishing,IT,Unknown,Social Engineering,AI-based Detection,75.31,428615,66,0.0,1-3 days,0.7519348678259122,0.4285291094673698,0.9154929577464789,0.6876247583024628
Australia,2015,Phishing,Healthcare,Nation-state,Unpatched Software,VPN,76.4,108767,48,0.0,1-3 days,0.76289074278822,0.10842855012604945,0.6619718309859155,0.546368302629108
India,2020,Man-in-the-Middle,IT,Insider,Unpatched Software,Encryption,28.69,939469,45,0.0,1-3 days,0.2833450598050056,0.9397864915418265,0.6197183098591549,0.5475521393368816
UK,2019,Man-in-the-Middle,Government,Nation-state,Zero-day,Antivirus,23.93,325827,39,0.0,1-3 days,0.2355010553824505,0.32565994569715506,0.5352112676056338,0.32249076492149853
UK,2017,Man-in-the-Middle,Education,Hacker Group,Social Engineering,AI-based Detection,30.44,996762,27,0.0,1-3 days,0.3009347673132978,0.9971247314130849,0.36619718309859156,0.5228442397002927
Japan,2017,Phishing,IT,Hacker Group,Unpatched Software,VPN,5.14,319868,52,0.0,1-3 days,0.04663785305055784,0.3196962403336232,0.7183098591549296,0.2628897704563518
Brazil,2018,Man-in-the-Middle,Banking,Hacker Group,Weak Passwords,AI-based Detection,1.01,66191,71,0.0,1-3 days,0.00512614333098804,0.06581893113666683,0.9859154929577465,0.21949184959804338
India,2023,Ransomware,IT,Insider,Zero-day,AI-based Detection,18.53,925373,4,0.0,Under a day,0.18122424364257717,0.9256793610158415,0.04225352112676056,0.3767666343513931
India,2015,Malware,Telecommunications,Insider,Unpatched Software,VPN,1.52,913114,15,0.0,Under a day,0.01025228666197608,0.9134106810273306,0.19718309859154928,0.31858596735749706
Australia,2019,DDoS,Healthcare,Nation-state,Unpatched Software,Firewall,84.89,163975,22,0.0,Under a day,0.8482259523570208,0.1636801436333267,0.29577464788732394,0.5323719488459732
USA,2016,DDoS,Education,Insider,Unpatched Software,AI-based Detection,66.73,876135,67,0.0,1-3 days,0.6656950447281135,0.8764024815579492,0.9295774647887324,0.7816837597891879
China,2024,Ransomware,Government,Hacker Group,Zero-day,VPN,72.61,595380,10,0.0,Under a day,0.7247964619559755,0.5954257909490588,0.1267605633802817,0.5663780809387616
France,2020,DDoS,Government,Nation-state,Weak Passwords,AI-based Detection,44.16,840796,5,0.0,Under a day,0.4388380741783094,0.8410355770703085,0.056338028169014086,0.48299731584405003
UK,2022,DDoS,Telecommunications,Unknown,Weak Passwords,Firewall,80.05,484908,42,0.0,1-3 days,0.799577847019801,0.4848665597156156,0.5774647887323944,0.6607418491710642
Russia,2018,SQL Injection,Telecommunications,Unknown,Social Engineering,Encryption,13.69,146100,22,0.0,Under a day,0.13257613830535733,0.14579102912197725,0.29577464788732394,0.16918030746673662
USA,2021,Phishing,IT,Insider,Zero-day,AI-based Detection,29.02,555756,21,0.0,Under a day,0.2866619760779978,0.5557705029268093,0.28169014084507044,0.36640016708605583
India,2017,Ransomware,Retail,Unknown,Social Engineering,Antivirus,69.91,340928,61,0.0,1-3 days,0.6976580560860388,0.3407728697942677,0.8450704225352113,0.620074973488342
UK,2016,Malware,Telecommunications,Insider,Zero-day,Encryption,3.76,678640,44,0.0,1-3 days,0.03276711227259021,0.6787515349610843,0.6056338028169014,0.3411357771880007
Brazil,2020,Phishing,IT,Insider,Social Engineering,Antivirus,57.43,212798,31,0.0,1-3 days,0.5722183133983315,0.21254169539766876,0.4225352112676056,0.4343787075719875
UK,2019,Ransomware,Retail,Unknown,Weak Passwords,AI-based Detection,63.45,354024,33,0.0,1-3 days,0.632726907226857,0.3538792106972401,0.4507042253521127,0.512668061893023
UK,2016,Man-in-the-Middle,Government,Insider,Zero-day,Firewall,41.34,189354,39,0.0,1-3 days,0.4104935169363756,0.18907918347576239,0.5352112676056338,0.3690127670320432
Australia,2022,Phishing,Education,Unknown,Zero-day,VPN,22.73,648363,47,0.0,1-3 days,0.22343954166247865,0.6484506275451332,0.647887323943662,0.43583242388351173
Brazil,2017,DDoS,IT,Insider,Weak Passwords,AI-based Detection,5.88,231114,37,0.0,1-3 days,0.05407578651120716,0.23087215813276676,0.5070422535211268,0.19770799139965897
India,2017,Ransomware,Banking,Unknown,Unpatched Software,VPN,9.81,489620,43,0.0,1-3 days,0.093577243944115,0.4895822804192508,0.5915492957746479,0.3119731652527623
USA,2015,DDoS,IT,Unknown,Zero-day,AI-based Detection,94.14,854005,14,0.0,Under a day,0.9412001206151372,0.8542550072006814,0.18309859154929578,0.7634962807776322
Germany,2017,Ransomware,IT,Hacker Group,Zero-day,AI-based Detection,33.24,550719,60,0.0,1-3 days,0.3290782993265655,0.550729525595695,0.8309859154929577,0.4959551904405828
Germany,2019,Man-in-the-Middle,Government,Hacker Group,Unpatched Software,VPN,75.37,445254,42,0.0,1-3 days,0.7525379435119108,0.4451812480046757,0.5774647887323944,0.625316303903837
Japan,2020,Phishing,Education,Unknown,Zero-day,VPN,49.17,218097,32,0.0,1-3 days,0.4891948939591919,0.2178448796100123,0.43661971830985913,0.39727485452457145
Germany,2017,Malware,Telecommunications,Insider,Zero-day,VPN,94.87,324790,42,0.0,1-3 days,0.9485375414614535,0.32462212685809105,0.5774647887323944,0.687148366534633
India,2023,SQL Injection,Government,Unknown,Unpatched Software,VPN,28.71,497965,25,0.0,1-3 days,0.28354608503367174,0.4979338698232906,0.3380281690140845,0.35875883726663993
Australia,2023,SQL Injection,Education,Insider,Social Engineering,Antivirus,42.5,933030,27,0.0,1-3 days,0.422152980199015,0.9333424071592487,0.36619718309859156,0.5643186488670004
UK,2015,Man-in-the-Middle,IT,Nation-state,Zero-day,VPN,53.07,538338,1,0.0,Under a day,0.5283948135491005,0.5383387492731765,0.0,0.4256990315565031
France,2018,Phishing,Retail,Hacker Group,Social Engineering,AI-based Detection,99.78,860459,11,0.0,Under a day,0.997889235099005,0.8607141034276043,0.14084507042253522,0.7853278626622908
UK,2024,DDoS,Healthcare,Unknown,Unpatched Software,Antivirus,82.87,276634,38,0.0,1-3 days,0.8279224042617349,0.2764281017722983,0.5211267605633803,0.601114984775233
Germany,2018,Man-in-the-Middle,Banking,Insider,Social Engineering,Firewall,81.46,316299,66,0.0,1-3 days,0.8137501256407679,0.3161244221690914,0.9154929577464789,0.6848109810204072
Japan,2023,Ransomware,Healthcare,Unknown,Zero-day,Encryption,33.66,410385,71,0.0,1-3 days,0.3332998291285556,0.41028471463985083,0.9859154929577465,0.48691842754778236
Japan,2024,DDoS,Healthcare,Unknown,Weak Passwords,VPN,99.28,589898,59,0.0,1-3 days,0.99286360438235,0.5899394622357039,0.8169014084507042,0.836793922552027
France,2016,Man-in-the-Middle,Retail,Hacker Group,Weak Passwords,VPN,14.86,63760,8,0.0,Under a day,0.1443361141823299,0.0633860115631233,0.09859154929577464,0.11090217041925687
USA,2015,Ransomware,Banking,Insider,Social Engineering,VPN,33.75,58037,13,0.0,Under a day,0.33420444265755356,0.05765849255062244,0.16901408450704225,0.21820258599537198
UK,2017,SQL Injection,Government,Nation-state,Unpatched Software,Encryption,82.03,994787,56,0.0,1-3 days,0.8194793446577546,0.9951481719076352,0.7746478873239436,0.8632137013659567
India,2016,Ransomware,Retail,Unknown,Zero-day,Firewall,9.53,89719,68,0.0,1-3 days,0.09076289074278822,0.08936550938690627,0.9436619718309859,0.2609234925536632
Germany,2023,SQL Injection,Telecommunications,Unknown,Unpatched Software,Firewall,6.09,590760,32,0.0,1-3 days,0.05618655141220223,0.5908021428907408,0.43661971830985913,0.2926578622352952
UK,2022,DDoS,IT,Insider,Weak Passwords,Antivirus,29.05,186700,37,0.0,1-3 days,0.2869635139209971,0.18642308781628705,0.5070422535211268,0.30081713400961
Japan,2019,SQL Injection,Education,Hacker Group,Zero-day,VPN,89.48,682430,5,0.0,Under a day,0.8943612423359133,0.6825445276323019,0.056338028169014086,0.66321158509145
Australia,2018,SQL Injection,Education,Insider,Social Engineering,Antivirus,75.2,60868,46,0.0,1-3 days,0.7508292290682481,0.06049172797337099,0.6338028169014085,0.520322696306417
France,2016,SQL Injection,Government,Nation-state,Unpatched Software,Antivirus,29.33,182916,17,0.0,Under a day,0.28977786712232384,0.18263609988280755,0.22535211267605634,0.24475018606121546
France,2023,DDoS,Education,Insider,Weak Passwords,Antivirus,65.96,181879,64,0.0,1-3 days,0.6579555734244648,0.1815982810437435,0.8873239436619719,0.5609220597577498
Australia,2017,Phishing,Retail,Unknown,Weak Passwords,Antivirus,95.2,715732,11,0.0,Under a day,0.9518544577344458,0.7158728236578661,0.14084507042253522,0.7188580900490897
UK,2023,Malware,Banking,Hacker Group,Zero-day,Encryption,16.02,452477,23,0.0,Under a day,0.15599557744496934,0.4524099514516954,0.30985915492957744,0.2756926051439088
India,2018,Ransomware,Banking,Insider,Social Engineering,AI-based Detection,11.19,168881,5,0.0,Under a day,0.10744798472208263,0.1685900175238263,0.056338028169014086,0.11556860325199202
France,2017,SQL Injection,Healthcare,Insider,Social Engineering,Antivirus,27.42,94235,29,0.0,1-3 days,0.270579957784702,0.09388507532443098,0.39436619718309857,0.24232874092630002
Australia,2015,Ransomware,Telecommunications,Unknown,Unpatched Software,Encryption,17.38,75314,6,0.0,Under a day,0.16966529299427077,0.07494913486741038,0.07042253521126761,0.12140189399961201
Russia,2019,Man-in-the-Middle,Retail,Nation-state,Social Engineering,Firewall,99.53,515797,46,0.0,1-3 days,0.9953764197406775,0.5157799503808504,0.6338028169014085,0.7791827583648756
Russia,2024,DDoS,Telecommunications,Insider,Weak Passwords,Antivirus,55.05,363906,31,0.0,1-3 days,0.548296311187054,0.3637690137518502,0.4225352112676056,0.46778590197260317
